date,close,high,low,open,volume
2019-10-07 15:00:00+00:00,227.88,227.92,227.66,227.77,72945.0
2019-10-07 15:15:00+00:00,227.83,227.89,227.77,227.88,30369.0
2019-10-07 15:30:00+00:00,227.44,227.5,227.4,227.47,33144.0
2019-10-07 15:45:00+00:00,227.06,227.3,226.92,227.2,299623.0
2019-10-08 09:30:00+00:00,226.44,226.48,225.88,226.11,119534.0
2019-10-08 09:45:00+00:00,225.83,225.94,225.62,225.72,91897.0
2019-10-08 10:00:00+00:00,225.9,225.92,225.55,225.64,109021.0
2019-10-08 10:15:00+00:00,226.13,226.18,226.0,226.17,52382.0
2019-10-08 10:30:00+00:00,226.34,226.42,226.22,226.28,48790.0
2019-10-08 10:45:00+00:00,226.26,226.36,226.24,226.31,83272.0
2019-10-08 11:00:00+00:00,226.03,226.05,225.87,225.9,34766.0
2019-10-08 11:15:00+00:00,225.76,225.83,225.56,225.71,60057.0
2019-10-08 11:30:00+00:00,225.95,225.98,225.73,225.94,59767.0
2019-10-08 11:45:00+00:00,226.09,226.15,226.06,226.1,16103.0
2019-10-08 12:00:00+00:00,225.91,225.93,225.85,225.88,33368.0
2019-10-08 12:15:00+00:00,226.03,226.12,226.02,226.12,23495.0
2019-10-08 12:30:00+00:00,226.47,226.59,226.16,226.17,100924.0
2019-10-08 12:45:00+00:00,226.77,226.79,226.65,226.7,20485.0
2019-10-08 13:00:00+00:00,226.69,226.75,226.67,226.72,18275.0
